fname,cycle,sound,location
set_a/normal__201102081321.wav,1,S1,10021
set_a/normal__201102081321.wav,1,S2,20759
set_a/normal__201102081321.wav,2,S1,35075
set_a/normal__201102081321.wav,2,S2,47244
set_a/normal__201102081321.wav,3,S1,62992
set_a/normal__201102081321.wav,3,S2,73729
set_a/normal__201102081321.wav,4,S1,88761
set_a/normal__201102081321.wav,4,S2,101646
set_a/normal__201102081321.wav,5,S1,115246
set_a/normal__201102081321.wav,5,S2,127415
set_a/normal__201102081321.wav,6,S1,143163
set_a/normal__201102081321.wav,6,S2,153900
set_a/normal__201102081321.wav,7,S1,168216
set_a/normal__201102081321.wav,7,S2,180385
set_a/normal__201102081321.wav,8,S1,195417
set_a/normal__201102081321.wav,8,S2,206155
set_a/normal__201102081321.wav,9,S1,220471
set_a/normal__201102081321.wav,9,S2,231924
set_a/normal__201102081321.wav,10,S1,272010
set_a/normal__201102081321.wav,10,S2,283463
set_a/normal__201102081321.wav,11,S1,297779
set_a/normal__201102081321.wav,11,S2,309232
set_a/normal__201102081321.wav,12,S1,324264
set_a/normal__201102081321.wav,12,S2,335001
set_a/normal__201102260502.wav,1,S1,11526
set_a/normal__201102260502.wav,1,S2,27941
set_a/normal__201102260502.wav,2,S1,42197
set_a/normal__201102260502.wav,2,S2,58163
set_a/normal__201102260502.wav,3,S1,71278
set_a/normal__201102260502.wav,3,S2,88955
set_a/normal__201102260502.wav,4,S1,102641
set_a/normal__201102260502.wav,4,S2,122028
set_a/normal__201102260502.wav,5,S1,134573
set_a/normal__201102260502.wav,5,S2,152821
set_a/normal__201102260502.wav,6,S1,184753
set_a/normal__201102260502.wav,6,S2,197869
set_a/normal__201102260502.wav,7,S1,216686
set_a/normal__201102260502.wav,7,S2,230942
set_a/normal__201102260502.wav,8,S1,251211
set_a/normal__201102260502.wav,8,S2,265168
set_a/normal__201103090635.wav,1,S1,5366
set_a/normal__201103090635.wav,1,S2,17632
set_a/normal__201103090635.wav,2,S1,31432
set_a/normal__201103090635.wav,2,S2,44464
set_a/normal__201103090635.wav,3,S1,59030
set_a/normal__201103090635.wav,3,S2,71296
set_a/normal__201103090635.wav,4,S1,86629
set_a/normal__201103090635.wav,4,S2,99661
set_a/normal__201103090635.wav,5,S1,116527
set_a/normal__201103090635.wav,5,S2,128793
set_a/normal__201103090635.wav,6,S1,144125
set_a/normal__201103090635.wav,6,S2,156391
set_a/normal__201103090635.wav,7,S1,174024
set_a/normal__201103090635.wav,7,S2,185523
set_a/normal__201103090635.wav,8,S1,200856
set_a/normal__201103090635.wav,8,S2,213122
set_a/normal__201103090635.wav,9,S1,226154
set_a/normal__201103090635.wav,9,S2,239187
set_a/normal__201103090635.wav,10,S1,252220
set_a/normal__201103090635.wav,10,S2,265252
set_a/normal__201103090635.wav,11,S1,277518
set_a/normal__201103090635.wav,11,S2,290551
set_a/normal__201103090635.wav,12,S1,303583
set_a/normal__201103090635.wav,12,S2,315849
set_a/normal__201103090635.wav,13,S1,329649
set_a/normal__201103090635.wav,13,S2,342681
set_a/normal__201103140132.wav,1,S1,16358
set_a/normal__201103140132.wav,1,S2,29272
set_a/normal__201103140132.wav,2,S1,89539
set_a/normal__201103140132.wav,2,S2,105036
set_a/normal__201103140132.wav,3,S1,128282
set_a/normal__201103140132.wav,3,S2,142057
set_a/normal__201103140132.wav,4,S1,170469
set_a/normal__201103140132.wav,4,S2,183383
set_a/normal__201103140132.wav,5,S1,207490
set_a/normal__201103140132.wav,5,S2,221265
set_a/normal__201103140132.wav,6,S1,242789
set_a/normal__201103140132.wav,6,S2,256564
set_a/normal__201103140132.wav,7,S1,279810
set_a/normal__201103140132.wav,7,S2,292725
set_a/normal__201103140132.wav,8,S1,320275
set_a/normal__201103140132.wav,8,S2,334911
set_a/normal__201103140132.wav,9,S1,363323
set_a/normal__201103140132.wav,9,S2,377098
set_a/normal__201103140822.wav,1,S1,3444
set_a/normal__201103140822.wav,1,S2,18080
set_a/normal__201103140822.wav,2,S1,44770
set_a/normal__201103140822.wav,2,S2,58545
set_a/normal__201103140822.wav,3,S1,84374
set_a/normal__201103140822.wav,3,S2,98149
set_a/normal__201103140822.wav,4,S1,123977
set_a/normal__201103140822.wav,4,S2,134309
set_a/normal__201103140822.wav,5,S1,157555
set_a/normal__201103140822.wav,5,S2,175635
set_a/normal__201103140822.wav,6,S1,195437
set_a/normal__201103140822.wav,6,S2,214378
set_a/normal__201103151912.wav,1,S1,3244
set_a/normal__201103151912.wav,1,S2,12053
set_a/normal__201103151912.wav,2,S1,25829
set_a/normal__201103151912.wav,2,S2,61128
set_a/normal__201103151912.wav,3,S1,79208
set_a/normal__201103151912.wav,3,S2,96427
set_a/normal__201103151912.wav,4,S1,117090
set_a/normal__201103151912.wav,4,S2,133448
set_a/normal__201103151912.wav,5,S1,152389
set_a/normal__201103151912.wav,5,S2,167886
set_a/normal__201103151912.wav,6,S1,202324
set_a/normal__201103151912.wav,6,S2,222987
set_a/normal__201103221214.wav,1,S1,27831
set_a/normal__201103221214.wav,1,S2,39095
set_a/normal__201103221214.wav,2,S1,54667
set_a/normal__201103221214.wav,2,S2,65601
set_a/normal__201103221214.wav,3,S1,81173
set_a/normal__201103221214.wav,3,S2,92769
set_a/normal__201103221214.wav,4,S1,108341
set_a/normal__201103221214.wav,4,S2,119605
set_a/normal__201103221214.wav,5,S1,135509
set_a/normal__201103221214.wav,5,S2,146442
set_a/normal__201104141251.wav,1,S1,21189
set_a/normal__201104141251.wav,1,S2,32879
set_a/normal__201104141251.wav,2,S1,51876
set_a/normal__201104141251.wav,2,S2,64297
set_a/normal__201104141251.wav,3,S1,83294
set_a/normal__201104141251.wav,3,S2,96446
set_a/normal__201104141251.wav,4,S1,116904
set_a/normal__201104141251.wav,4,S2,129326
set_a/normal__201104141251.wav,5,S1,149053
set_a/normal__201104141251.wav,5,S2,162205
set_a/normal__201104141251.wav,6,S1,180471
set_a/normal__201104141251.wav,6,S2,192623
set_a/normal__201104141251.wav,7,S1,211889
set_a/normal__201104141251.wav,7,S2,225041
set_a/normal__201104141251.wav,8,S1,245499
set_a/normal__201104141251.wav,8,S2,257920
set_a/normal__201104141251.wav,9,S1,279109
set_a/normal__201104141251.wav,9,S2,290800
set_a/normal__201105011626.wav,1,S1,2855
set_a/normal__201105011626.wav,1,S2,15497
set_a/normal__201105011626.wav,2,S1,23246
set_a/normal__201105011626.wav,2,S2,35299
set_a/normal__201105011626.wav,3,S1,43048
set_a/normal__201105011626.wav,3,S2,55962
set_a/normal__201105011626.wav,4,S1,63711
set_a/normal__201105011626.wav,4,S2,75764
set_a/normal__201105011626.wav,5,S1,84374
set_a/normal__201105011626.wav,5,S2,96427
set_a/normal__201105011626.wav,6,S1,105036
set_a/normal__201105011626.wav,6,S2,116229
set_a/normal__201105011626.wav,7,S1,124838
set_a/normal__201105011626.wav,7,S2,136031
set_a/normal__201105011626.wav,8,S1,143779
set_a/normal__201105011626.wav,8,S2,164899
set_a/normal__201105011626.wav,9,S1,155833
set_a/normal__201105011626.wav,9,S2,177357
set_a/normal__201105011626.wav,10,S1,184244
set_a/normal__201105011626.wav,10,S2,196298
set_a/normal__201105011626.wav,11,S1,205768
set_a/normal__201105011626.wav,11,S2,216100
set_a/normal__201105011626.wav,12,S1,224709
set_a/normal__201105011626.wav,12,S2,237623
set_a/normal__201105011626.wav,13,S1,245372
set_a/normal__201105011626.wav,13,S2,257425
set_a/normal__201105011626.wav,14,S1,266035
set_a/normal__201105011626.wav,14,S2,278949
set_a/normal__201105011626.wav,15,S1,287559
set_a/normal__201105011626.wav,15,S2,302195
set_a/normal__201105011626.wav,16,S1,307361
set_a/normal__201105011626.wav,16,S2,321136
set_a/normal__201105011626.wav,17,S1,328885
set_a/normal__201105011626.wav,17,S2,338355
set_a/normal__201105011626.wav,18,S1,347826
set_a/normal__201105011626.wav,18,S2,360740
set_a/normal__201105011626.wav,19,S1,381403
set_a/normal__201105011626.wav,19,S2,389151
set_a/normal__201105021654.wav,1,S1,24481
set_a/normal__201105021654.wav,1,S2,39781
set_a/normal__201105021654.wav,2,S1,79563
set_a/normal__201105021654.wav,2,S2,94863
set_a/normal__201105021654.wav,3,S1,126229
set_a/normal__201105021654.wav,3,S2,140765
set_a/normal__201105021654.wav,4,S1,169836
set_a/normal__201105021654.wav,4,S2,185136
set_a/normal__201105021654.wav,5,S1,215737
set_a/normal__201105021654.wav,5,S2,230273
set_a/normal__201105021654.wav,6,S1,270054
set_a/normal__201105021654.wav,6,S2,284590
set_a/normal__201105021654.wav,7,S1,327431
set_a/normal__201105021654.wav,7,S2,342732
set_a/normal__201105021804.wav,1,S1,24107
set_a/normal__201105021804.wav,1,S2,35299
set_a/normal__201105021804.wav,2,S1,50796
set_a/normal__201105021804.wav,2,S2,61128
set_a/normal__201105021804.wav,3,S1,75764
set_a/normal__201105021804.wav,3,S2,86095
set_a/normal__201105021804.wav,4,S1,101593
set_a/normal__201105021804.wav,4,S2,112785
set_a/normal__201105021804.wav,5,S1,128282
set_a/normal__201105021804.wav,5,S2,139475
set_a/normal__201105021804.wav,6,S1,154972
set_a/normal__201105021804.wav,6,S2,165303
set_a/normal__201105021804.wav,7,S1,180800
set_a/normal__201105021804.wav,7,S2,190271
set_a/normal__201105021804.wav,8,S1,204907
set_a/normal__201105021804.wav,8,S2,216961
set_a/normal__201105021804.wav,9,S1,229875
set_a/normal__201105021804.wav,9,S2,240206
set_a/normal__201105021804.wav,10,S1,254843
set_a/normal__201105021804.wav,10,S2,265174
set_a/normal__201105021804.wav,11,S1,281532
set_a/normal__201105021804.wav,11,S2,291003
set_a/normal__201105021804.wav,12,S1,306500
set_a/normal__201105021804.wav,12,S2,315970
set_a/normal__201105021804.wav,13,S1,331467
set_a/normal__201105021804.wav,13,S2,341799
set_a/normal__201105021804.wav,14,S1,356435
set_a/normal__201105021804.wav,14,S2,368489
set_a/normal__201105021804.wav,15,S1,382264
set_a/normal__201105021804.wav,15,S2,390873
set_a/normal__201105151450.wav,1,S1,26679
set_a/normal__201105151450.wav,1,S2,40379
set_a/normal__201105151450.wav,2,S1,56964
set_a/normal__201105151450.wav,2,S2,71385
set_a/normal__201105151450.wav,3,S1,90853
set_a/normal__201105151450.wav,3,S2,105275
set_a/normal__201105151450.wav,4,S1,124743
set_a/normal__201105151450.wav,4,S2,138443
set_a/normal__201105151450.wav,5,S1,157912
set_a/normal__201105151450.wav,5,S2,171612
set_a/normal__201105151450.wav,6,S1,193965
set_a/normal__201105151450.wav,6,S2,206223
set_a/normal__201105151450.wav,7,S1,227855
set_a/normal__201105151450.wav,7,S2,242276
set_a/normal__201105151450.wav,8,S1,263907
set_a/normal__201105151450.wav,8,S2,278003
set_a/normal__201105151450.wav,9,S1,299239
set_a/normal__201105151450.wav,9,S2,313660
set_a/normal__201106111136.wav,1,S1,19943
set_a/normal__201106111136.wav,1,S2,33239
set_a/normal__201106111136.wav,2,S1,56506
set_a/normal__201106111136.wav,2,S2,66953
set_a/normal__201106111136.wav,3,S1,87846
set_a/normal__201106111136.wav,3,S2,101142
set_a/normal__201106111136.wav,4,S1,122510
set_a/normal__201106111136.wav,4,S2,136280
set_a/normal__201106111136.wav,5,S1,159073
set_a/normal__201106111136.wav,5,S2,169044
set_a/normal__201106111136.wav,6,S1,189938
set_a/normal__201106111136.wav,6,S2,201809
set_a/normal__201106141148.wav,1,S1,21449
set_a/normal__201106141148.wav,1,S2,31349
set_a/normal__201106141148.wav,2,S1,47849
set_a/normal__201106141148.wav,2,S2,58299
set_a/normal__201106141148.wav,3,S1,73698
set_a/normal__201106141148.wav,3,S2,84698
set_a/normal__201106141148.wav,4,S1,100648
set_a/normal__201106141148.wav,4,S2,112197
set_a/normal__201106141148.wav,5,S1,128147
set_a/normal__201106141148.wav,5,S2,138047
set_a/normal__201106141148.wav,6,S1,154546
set_a/normal__201106141148.wav,6,S2,165546
set_a/normal__201106141148.wav,7,S1,181496
set_a/normal__201106141148.wav,7,S2,191395
set_a/normal__201106141148.wav,8,S1,208995
set_a/normal__201106141148.wav,8,S2,218345
set_a/normal__201106210943.wav,1,S1,5036
set_a/normal__201106210943.wav,1,S2,18466
set_a/normal__201106210943.wav,2,S1,40290
set_a/normal__201106210943.wav,2,S2,54839
set_a/normal__201106210943.wav,3,S1,73305
set_a/normal__201106210943.wav,3,S2,86735
set_a/normal__201106210943.wav,4,S1,106320
set_a/normal__201106210943.wav,4,S2,120310
set_a/normal__201106210943.wav,5,S1,141574
set_a/normal__201106210943.wav,5,S2,155004
set_a/normal__201106210943.wav,6,S1,172351
set_a/normal__201106210943.wav,6,S2,186341
set_a/normal__201106210943.wav,7,S1,207045
set_a/normal__201106210943.wav,7,S2,220475
set_a/normal__201106221418.wav,1,S1,26126
set_a/normal__201106221418.wav,1,S2,40194
set_a/normal__201106221418.wav,2,S1,60291
set_a/normal__201106221418.wav,2,S2,72349
set_a/normal__201106221418.wav,3,S1,93116
set_a/normal__201106221418.wav,3,S2,105844
set_a/normal__201106221418.wav,4,S1,123261
set_a/normal__201106221418.wav,4,S2,138669
set_a/normal__201106221418.wav,5,S1,155416
set_a/normal__201106221418.wav,5,S2,170154
set_a/normal__201106221418.wav,6,S1,191591
set_a/normal__201106221418.wav,6,S2,204319
set_a/normal__201106221418.wav,7,S1,224416
set_a/normal__201106221418.wav,7,S2,238484
set_a/normal__201106221418.wav,8,S1,262600
set_a/normal__201106221418.wav,8,S2,275328
set_a/normal__201106221450.wav,1,S1,2583
set_a/normal__201106221450.wav,1,S2,16358
set_a/normal__201106221450.wav,2,S1,38743
set_a/normal__201106221450.wav,2,S2,54240
set_a/normal__201106221450.wav,3,S1,74903
set_a/normal__201106221450.wav,3,S2,89539
set_a/normal__201106221450.wav,4,S1,111063
set_a/normal__201106221450.wav,4,S2,124838
set_a/normal__201106221450.wav,5,S1,147223
set_a/normal__201106221450.wav,5,S2,160998
set_a/normal__201106221450.wav,6,S1,184244
set_a/normal__201106221450.wav,6,S2,198880
set_a/normal__201106221450.wav,7,S1,221265
set_a/normal__201106221450.wav,7,S2,236762
set_a/normal__201106221450.wav,8,S1,258286
set_a/normal__201106221450.wav,8,S2,273784
set_a/normal__201106221450.wav,9,S1,296168
set_a/normal__201106221450.wav,9,S2,309944
set_a/normal__201106221450.wav,10,S1,331467
set_a/normal__201106221450.wav,10,S2,345243
set_a/normal__201106221450.wav,11,S1,366767
set_a/normal__201106221450.wav,11,S2,380542
set_a/normal__201108011112.wav,1,S1,25810
set_a/normal__201108011112.wav,1,S2,40993
set_a/normal__201108011112.wav,2,S1,63008
set_a/normal__201108011112.wav,2,S2,76672
set_a/normal__201108011112.wav,3,S1,98687
set_a/normal__201108011112.wav,3,S2,113110
set_a/normal__201108011112.wav,4,S1,135125
set_a/normal__201108011112.wav,4,S2,149548
set_a/normal__201108011112.wav,5,S1,170804
set_a/normal__201108011112.wav,5,S2,185227
set_a/normal__201108011112.wav,6,S1,207242
set_a/normal__201108011112.wav,6,S2,221665
set_a/normal__201108011112.wav,7,S1,244439
set_a/normal__201108011112.wav,7,S2,258104
set_a/normal__201108011112.wav,8,S1,279359
set_a/normal__201108011112.wav,8,S2,293783
set_a/normal__201108011112.wav,9,S1,315797
set_a/normal__201108011112.wav,9,S2,330221
set_a/normal__201108011114.wav,1,S1,22774
set_a/normal__201108011114.wav,1,S2,37197
set_a/normal__201108011114.wav,2,S1,67562
set_a/normal__201108011114.wav,2,S2,81986
set_a/normal__201108011114.wav,3,S1,112351
set_a/normal__201108011114.wav,3,S2,127534
set_a/normal__201108011114.wav,4,S1,157899
set_a/normal__201108011114.wav,4,S2,172322
set_a/normal__201108011114.wav,5,S1,202687
set_a/normal__201108011114.wav,5,S2,217870
set_a/normal__201108011114.wav,6,S1,247476
set_a/normal__201108011114.wav,6,S2,263417
set_a/normal__201108011114.wav,7,S1,292264
set_a/normal__201108011114.wav,7,S2,308206
set_a/normal__201108011115.wav,1,S1,23533
set_a/normal__201108011115.wav,1,S2,37197
set_a/normal__201108011115.wav,2,S1,59212
set_a/normal__201108011115.wav,2,S2,73635
set_a/normal__201108011115.wav,3,S1,95650
set_a/normal__201108011115.wav,3,S2,110074
set_a/normal__201108011115.wav,4,S1,132088
set_a/normal__201108011115.wav,4,S2,146512
set_a/normal__201108011115.wav,5,S1,168526
set_a/normal__201108011115.wav,5,S2,182191
set_a/normal__201108011115.wav,6,S1,204205
set_a/normal__201108011115.wav,6,S2,217870
set_a/normal__201108011115.wav,7,S1,239884
set_a/normal__201108011115.wav,7,S2,254308
set_a/normal__201108011115.wav,8,S1,276323
set_a/normal__201108011115.wav,8,S2,290746
set_a/normal__201108011115.wav,9,S1,312761
set_a/normal__201108011115.wav,9,S2,326425
set_a/normal__201108011118.wav,1,S1,7591
set_a/normal__201108011118.wav,1,S2,20496
set_a/normal__201108011118.wav,2,S1,37197
set_a/normal__201108011118.wav,2,S2,50862
set_a/normal__201108011118.wav,3,S1,66803
set_a/normal__201108011118.wav,3,S2,78949
set_a/normal__201108011118.wav,4,S1,95650
set_a/normal__201108011118.wav,4,S2,107796
set_a/normal__201108011118.wav,5,S1,124497
set_a/normal__201108011118.wav,5,S2,138161
set_a/normal__201108011118.wav,6,S1,154862
set_a/normal__201108011118.wav,6,S2,167008
set_a/normal__201108011118.wav,7,S1,183709
set_a/normal__201108011118.wav,7,S2,196614
set_a/normal__201108011118.wav,8,S1,213315
set_a/normal__201108011118.wav,8,S2,226220
set_a/normal__201108011118.wav,9,S1,241403
set_a/normal__201108011118.wav,9,S2,255826
set_a/normal__201108011118.wav,10,S1,272527
set_a/normal__201108011118.wav,10,S2,284673
set_a/normal__201108011118.wav,11,S1,300863
set_a/normal__201108011118.wav,11,S2,314279
set_a/normal__201108011118.wav,12,S1,330980
set_a/normal__201108011118.wav,12,S2,343126
